Date,Home,Away
1,Roma,Verona
2,Udinese,Milan
3,Frosinone,Cagliari
4,Empoli,Monza
5,Salernitana,Genoa
6,Lecce,Juventus
7,Cagliari,Torino
8,Atalanta,Udinese
9,Juventus,Empoli
10,Milan,Bologna
11,Genoa,Lecce
12,Monza,Sassuolo
13,Verona,Frosinone
14,Lazio,Napoli
15,Fiorentina,Inter
16,Salernitana,Roma
17,Lecce,Fiorentina
18,Udinese,Monza
19,Empoli,Genoa
20,Frosinone,Milan
21,Bologna,Sassuolo
22,Torino,Salernitana
23,Napoli,Verona
24,Atalanta,Lazio
25,Inter,Juventus
26,Roma,Cagliari
27,Salernitana,Empoli
28,Cagliari,Lazio
29,Roma,Inter
30,Sassuolo,Torino
31,Fiorentina,Frosinone
32,Bologna,Lecce
33,Monza,Verona
34,Genoa,Atalanta
35,Milan,Napoli
36,Juventus,Udinese
37,Bologna,Fiorentina
38,Torino,Lecce
39,Inter,Salernitana
40,Napoli,Genoa
41,Verona,Juventus
42,Atalanta,Sassuolo
43,Lazio,Bologna
44,Empoli,Fiorentina
45,Udinese,Cagliari
46,Frosinone,Roma
47,Monza,Milan
48,Torino,Lazio
49,Bologna,Verona
50,Sassuolo,Empoli
51,Salernitana,Monza
52,Genoa,Udinese
53,Juventus,Frosinone
54,Cagliari,Napoli
55,Lecce,Inter
56,Milan,Atalanta
57,Roma,Torino
58,Fiorentina,Lazio
59,Sassuolo,Napoli
60,Inter,Atalanta
61,Lazio,Milan
62,Udinese,Salernitana
63,Monza,Roma
64,Torino,Fiorentina
65,Verona,Sassuolo
66,Frosinone,Lecce
67,Empoli,Cagliari
68,Atalanta,Bologna
69,Napoli,Juventus
70,Inter,Genoa
71,Milan,Empoli
72,Fiorentina,Roma
73,Cagliari,Salernitana
74,Napoli,Torino
75,Juventus,Atalanta
76,Lazio,Udinese
77,Lecce,Verona
78,Bologna,Inter
79,Sassuolo,Frosinone
80,Genoa,Monza
81,Empoli,Bologna
82,Inter,Napoli
83,Juventus,Genoa
84,Salernitana,Lecce
85,Udinese,Torino
86,Verona,Milan
87,Frosinone,Lazio
88,Roma,Sassuolo
89,Atalanta,Fiorentina
90,Monza,Cagliari
91,Lazio,Juventus
92,Napoli,Atalanta
93,Inter,Empoli
94,Genoa,Frosinone
95,Torino,Monza
96,Fiorentina,Milan
97,Bologna,Salernitana
98,Lecce,Roma
99,Sassuolo,Udinese
100,Cagliari,Verona
101,Salernitana,Sassuolo
102,Udinese,Inter
103,Juventus,Fiorentina
104,Cagliari,Atalanta
105,Milan,Lecce
106,Empoli,Torino
107,Monza,Napoli
108,Frosinone,Bologna
109,Verona,Genoa
110,Roma,Lazio
111,Napoli,Frosinone
112,Lazio,Salernitana
113,Sassuolo,Milan
114,Atalanta,Verona
115,Inter,Cagliari
116,Bologna,Monza
117,Udinese,Roma
118,Torino,Juventus
119,Lecce,Empoli
120,Fiorentina,Genoa
121,Empoli,Napoli
122,Roma,Bologna
123,Monza,Atalanta
124,Cagliari,Juventus
125,Genoa,Lazio
126,Sassuolo,Lecce
127,Verona,Udinese
128,Torino,Frosinone
129,Milan,Inter
130,Salernitana,Fiorentina
131,Juventus,Milan
132,Lecce,Monza
133,Genoa,Cagliari
134,Frosinone,Salernitana
135,Atalanta,Empoli
136,Napoli,Roma
137,Lazio,Verona
138,Fiorentina,Sassuolo
139,Inter,Torino
140,Bologna,Udinese
141,Udinese,Napoli
142,Cagliari,Lecce
143,Monza,Lazio
144,Salernitana,Atalanta
145,Empoli,Frosinone
146,Milan,Genoa
147,Torino,Bologna
148,Sassuolo,Inter
149,Roma,Juventus
150,Verona,Fiorentina
151,Fiorentina,Monza
152,Genoa,Sassuolo
153,Lecce,Udinese
154,Frosinone,Inter
155,Juventus,Salernitana
156,Atalanta,Roma
157,Verona,Torino
158,Milan,Cagliari
159,Lazio,Empoli
160,Napoli,Bologna
161,Roma,Genoa
162,Salernitana,Verona
163,Torino,Milan
164,Monza,Frosinone
165,Fiorentina,Napoli
166,Udinese,Empoli
167,Inter,Lazio
168,Lecce,Atalanta
169,Bologna,Juventus
170,Sassuolo,Cagliari
171,Genoa,Bologna
172,Lazio,Sassuolo
173,Empoli,Roma
174,Frosinone,Udinese
175,Cagliari,Fiorentina
176,Milan,Salernitana
177,Atalanta,Torino
178,Juventus,Monza
179,Napoli,Lecce
180,Verona,Inter
